ToyCar
id,AUC,pAUC
01,0.8536147186147186,0.6920141262246525
02,0.873078167115903,0.7857852177613847
03,0.7282479784366578,0.5775854731167541
04,0.9019191374663074,0.7698396935735565
Average,0.8392150004083967,0.706306127669087

