ToyCar
id,AUC,pAUC
01,0.7981060606060606,0.6423444976076556
02,0.8639460916442048,0.7652432969215491
03,0.7059299191374663,0.5684494254504185
04,0.8779407008086253,0.7040714995034757
Average,0.8114806930490892,0.6700271798707748

