ToyCar
id,AUC,pAUC
01,0.8185714285714286,0.6360218728639782
02,0.8617035040431267,0.7319903532415946
03,0.709789757412399,0.5601645623492694
04,0.8943396226415095,0.7293233082706767
Average,0.821101078167116,0.6643750241813797

