ToyCar
id,AUC,pAUC
01,0.8087445887445888,0.641660970608339
02,0.8397520215633423,0.7126968364306994
03,0.6973045822102425,0.5673712583345155
04,0.8871590296495957,0.7111647042133635
Average,0.8082400555419423,0.6582234423967295

