ToyCar
id,AUC,pAUC
01,0.8161688311688312,0.6306675780359992
02,0.8574231805929919,0.7213789189956021
03,0.7059083557951483,0.5572705348276351
04,0.8979191374663071,0.7324443183430274
Average,0.8193548762558197,0.6604403375505659

