ToyCar
id,AUC,pAUC
01,0.8296969696969697,0.6639895192526772
02,0.8923450134770889,0.7610441197332956
03,0.6986307277628033,0.565441906653426
04,0.9305876010781671,0.7984962406015037
Average,0.8378150780037572,0.6972429465602257

