ToyCar
id,AUC,pAUC
01,0.8506385281385282,0.6904192298929142
02,0.8725175202156334,0.7856717264860263
03,0.7375849056603774,0.5809902113775004
04,0.9072776280323451,0.7721662647183998
Average,0.8420046455117209,0.7073118581187101

