ToyCar
id,AUC,pAUC
01,0.8273809523809523,0.6463317384370015
02,0.8642156334231806,0.7255213505461767
03,0.6912129380053909,0.5569868066392396
04,0.8872884097035041,0.7300042559228259
Average,0.8175244833782569,0.664711037886311

