ToyCar
id,AUC,pAUC
01,0.8567099567099569,0.6832991569833675
02,0.9064474393530997,0.7794864519790041
03,0.7140700808625338,0.5772449992906795
04,0.9366145552560646,0.8095616399489289
Average,0.8534605080454138,0.712398062050495

