ToyCar
id,AUC,pAUC
01,0.8172943722943723,0.6634199134199135
02,0.8598814016172505,0.743736700241169
03,0.7282371967654987,0.5682791885373812
04,0.8793530997304582,0.7343736700241169
Average,0.8211915176018949,0.6774523680556451

