ToyCar
id,AUC,pAUC
01,0.8190800865800866,0.6349965823650034
02,0.8551266846361185,0.7103702652858561
03,0.6678167115902964,0.559370123421762
04,0.8712776280323451,0.7052631578947368
Average,0.8033252777097117,0.6525000322418396

